Name	Start	Duration	Time Format	Type	Description
Marker 01	3:25.730	0:00.000	decimal	Cue	
Marker 02	3:29.197	0:00.000	decimal	Cue	
CD Track 01	3:34.333	0:00.000	decimal	Track	
CD Track 02	3:38.066	0:00.000	decimal	Track	
CD Track 03	3:41.520	0:00.000	decimal	Track	
CD Track 04	3:46.973	0:00.000	decimal	Track	
Marker 03	3:51.411	0:00.000	decimal	Cue	
Marker 04	3:54.946	0:00.000	decimal	Cue	
CD Track 06	3:58.426	0:00.000	decimal	Track	
CD Track 07	4:01.680	0:00.000	decimal	Track	
CD Track 08	4:05.133	0:00.000	decimal	Track	
Marker 05	4:10.566	0:00.000	decimal	Cue	
CD Track 09	4:17.960	0:00.000	decimal	Track	
CD Track 10	4:20.986	0:00.000	decimal	Track	
CD Track 11	4:23.706	0:00.000	decimal	Track	
CD Track 12	4:26.573	0:00.000	decimal	Track	
CD Track 13	4:31.013	0:00.000	decimal	Track	
CD Track 14	4:35.333	0:00.000	decimal	Track	
CD Track 15	4:37.386	0:00.000	decimal	Track	
Marker 06	4:40.339	0:00.000	decimal	Cue	
